,content,text_only,text_len,type,source_identifier,file_name
50,"The peak luminosities of post-MS TDEs would be one order of magnitude lower than those of main-sequence (MS) TDEs, because debris with similar mass falls back over a longer time.
This is also consistent with the fact that Ansky has the lowest luminosity among TDEs. 
Therefore, a post-MS TDE can successfully explain Ansky's longer time scale and lower luminosity compared to normal TDEs. Moreover, as the debris falls back over a longer timescale, the reprocessing envelope formed in the early phase is likely less compact or optically thick compared to those formed in MS TDEs, which naturally leads to a higher ionization state and suppresses line formation.
Theoretical predictions suggest that the incidence rate of post-MS TDEs is much lower than that of MS TDEs~\citep{MacLeod2012}, considering comprehensively the differences in the duration of post-MS and MS stages as well as the differences in loss-cones.
","The peak luminosities of post-MS TDEs would be one order of magnitude lower than those of main-sequence (MS) TDEs, because debris with similar mass falls back over a longer time. This is also consistent with the fact that Ansky has the lowest luminosity among TDEs. Therefore, a post-MS TDE can successfully explain Ansky's longer time scale and lower luminosity compared to normal TDEs. Moreover, as the debris falls back over a longer timescale, the reprocessing envelope formed in the early phase is likely less compact or optically thick compared to those formed in MS TDEs, which naturally leads to a higher ionization state and suppresses line formation. Theoretical predictions suggest that the incidence rate of post-MS TDEs is much lower than that of MS TDEs~, considering comprehensively the differences in the duration of post-MS and MS stages as well as the differences in loss-cones.",896,text,Source_50,2510.22211v1
51,"This explains why only Ansky and AT2022gri show characteristics of post-MS TDEs among the hundreds of cases of TDEs that have been discovered so far.
",This explains why only Ansky and AT2022gri show characteristics of post-MS TDEs among the hundreds of cases of TDEs that have been discovered so far.,149,text,Source_51,2510.22211v1
52,"\citet{Jiang2025} proposed a unified scenario in which QPEs are produced in recently faded AGNs where TDEs frequently feed a misaligned accretion disk to the quasi-circular EMRI formed in the previous AGN disk. Evidence for recently faded AGNs primarily comes from the high detection rate of AGN-ionized EELRs in the integral field spectrograph (IFS) observations of QPE host galaxies~\citep{Wevers2024,Xiong2025}. Unfortunately, to our knowledge, there has been no such IFS observation of SDSSJ1335+0728 thus far. 
","proposed a unified scenario in which QPEs are produced in recently faded AGNs where TDEs frequently feed a misaligned accretion disk to the quasi-circular EMRI formed in the previous AGN disk. Evidence for recently faded AGNs primarily comes from the high detection rate of AGN-ionized EELRs in the integral field spectrograph (IFS) observations of QPE host galaxies~. Unfortunately, to our knowledge, there has been no such IFS observation of SDSSJ1335+0728 thus far.",468,text,Source_52,2510.22211v1
53,"Besides EELRs, \citet{Wu2025} have proposed a novel method to identify recently faded AGN systems through the infrared (IR) echoes of a torus remnant. After the AGN activity turned off, the inner part of the torus disappeared first due to frequent collisions between clumps that rapidly dissipated their orbital energy. When only the outer part of the torus is left behind, an IR dust echo naturally follows a TDE~\citep{Lu2016,Jiang2016,vV2016}, albeit with a long time delay as a result of the large inner radius of the torus. This phenomenon has been firmly observed in AT2019qiz, whose IR echo indicates a torus radius $>1.2$pc. As discussed in \citet{Wu2025}, the IR echo of Ansky also shows an atypically long time delay, supporting the presence of a torus remnant. 
The dust covering factor of Ansky is estimated to be 0.06, following ~\citet{Jiang2021} and using the latest dust luminosity~\citep{Wu2025}. It should be emphasized that this is only a lower limit, since the IR light curve was still rising until the last IR photometry, after which the WISE satellite retired. TDEs in normal galaxies usually have a dust covering factor of $\sim0.01$ or less~\citep{Jiang2021}, so the dust covering factor of Ansky is significantly higher than that of normal TDEs. On the other hand, the residual torus may be collapsing towards the equatorial plane due to the absence of radiation pressure support. Therefore, Ansky's covering factor may represent an intermediate value between AGNs and TDEs.
Moreover, the delayed yet rapid emergence of the \oiii\ emission suggests that the gas is distributed on a parsec scale (see Figure~\ref{cartoon}), which had remained unionized before the occurrence of Ansky due to the faded AGN. However, on larger scales, a residual extended \oiii\ emission region may still be visible. Located at a low redshift of 0.024, Ansky's host galaxy is an ideal target for IFS observation. We optimistically predict that an EELR will be detected once such observations are carried out, which would offer additional strong evidence of a recently faded AGN.  
","Besides EELRs, have proposed a novel method to identify recently faded AGN systems through the infrared (IR) echoes of a torus remnant. After the AGN activity turned off, the inner part of the torus disappeared first due to frequent collisions between clumps that rapidly dissipated their orbital energy. When only the outer part of the torus is left behind, an IR dust echo naturally follows a TDE~, albeit with a long time delay as a result of the large inner radius of the torus. This phenomenon has been firmly observed in AT2019qiz, whose IR echo indicates a torus radius pc. As discussed in , the IR echo of Ansky also shows an atypically long time delay, supporting the presence of a torus remnant. The dust covering factor of Ansky is estimated to be 0.06, following ~ and using the latest dust luminosity~. It should be emphasized that this is only a lower limit, since the IR light curve was still rising until the last IR photometry, after which the WISE satellite retired. TDEs in normal galaxies usually have a dust covering factor of or less~, so the dust covering factor of Ansky is significantly higher than that of normal TDEs. On the other hand, the residual torus may be collapsing towards the equatorial plane due to the absence of radiation pressure support. Therefore, Ansky's covering factor may represent an intermediate value between AGNs and TDEs. Moreover, the delayed yet rapid emergence of the \ emission suggests that the gas is distributed on a parsec scale (see Figure~), which had remained unionized before the occurrence of Ansky due to the faded AGN. However, on larger scales, a residual extended \ emission region may still be visible. Located at a low redshift of 0.024, Ansky's host galaxy is an ideal target for IFS observation. We optimistically predict that an EELR will be detected once such observations are carried out, which would offer additional strong evidence of a recently faded AGN.",1934,text,Source_53,2510.22211v1
54,"Lastly, we noticed that \citet{Ansky_xray2025} recently reported an intriguing doubling of the QPE recurrence timescale in their 2025 observations. Furthermore, the 2025 QPEs were found to be four times more energetic and exhibited a more asymmetric flare profile. These new and unexpected phenomena demand a refinement of the EMRI+disk collision model, such as an evolving interaction due to changes in either the EMRI or the disk properties. It would also be interesting to establish whether this phenomenon is specific to Ansky, i.e. occurring after the disruption of a post-MS system, or whether it is common to all QPEs.
","Lastly, we noticed that recently reported an intriguing doubling of the QPE recurrence timescale in their 2025 observations. Furthermore, the 2025 QPEs were found to be four times more energetic and exhibited a more asymmetric flare profile. These new and unexpected phenomena demand a refinement of the EMRI+disk collision model, such as an evolving interaction due to changes in either the EMRI or the disk properties. It would also be interesting to establish whether this phenomenon is specific to Ansky, i.e. occurring after the disruption of a post-MS system, or whether it is common to all QPEs.",602,text,Source_54,2510.22211v1
55,"Although there are an increasing number of cases where QPEs are associated with TDEs, it remains unclear whether a TDE is a prerequisite for QPE production. Therefore, ZTF19acnskyy (""Ansky"") is a particularly noteworthy case, as it represents a potential first QPE source linked to a turn-on AGN. If confirmed, this would suggest a novel yet analogous formation mechanism for QPEs and imply that their occurrence is related to sudden accretion outbursts but not necessarily to TDEs.
","Although there are an increasing number of cases where QPEs are associated with TDEs, it remains unclear whether a TDE is a prerequisite for QPE production. Therefore, ZTF19acnskyy (""Ansky"") is a particularly noteworthy case, as it represents a potential first QPE source linked to a turn-on AGN. If confirmed, this would suggest a novel yet analogous formation mechanism for QPEs and imply that their occurrence is related to sudden accretion outbursts but not necessarily to TDEs.",482,text,Source_55,2510.22211v1
56,"In this work, we present an HST UV spectrum taken in the late stage of Ansky and analyze the long-term evolution of its light curves. Our findings strongly support the interpretation of Ansky as a featureless TDE, characterized by the persistent absence of broad emission lines in both optical and UV spectra since its discovery. This characteristic is inconsistent with the turn-on AGN scenario as suggested by~\citet{Hernandez-Garcia2025}. Further compelling evidence comes from the slope of the UV continuum, whose spectral index of -2.6 is much steeper than that of normal AGNs but typical of TDEs.
Compared to other featureless TDEs, Ansky exhibits a lower blackbody luminosity ($\sim10^{43}\,\rm erg\,s^{-1}$) and notably slower rise and decline timescales, indicating a distinct subclass of TDEs. We first considered the possibility of an IMBH origin for Ansky. However, high-resolution HST ACQ imaging constrains the transient location to within 13 pc of the galactic nucleus, strongly disfavoring an offset IMBH-TDE scenario. Instead, we propose that Ansky is most likely the tidal disruption of a post-MS star by a typical SMBH. This scenario naturally explains the longer evolution timescale and lower luminosity, as post-MS TDEs are expected to have longer fallback times and dimmer emission than main-sequence star disruptions (Section~\ref{post-MS}).
","In this work, we present an HST UV spectrum taken in the late stage of Ansky and analyze the long-term evolution of its light curves. Our findings strongly support the interpretation of Ansky as a featureless TDE, characterized by the persistent absence of broad emission lines in both optical and UV spectra since its discovery. This characteristic is inconsistent with the turn-on AGN scenario as suggested by~. Further compelling evidence comes from the slope of the UV continuum, whose spectral index of -2.6 is much steeper than that of normal AGNs but typical of TDEs. Compared to other featureless TDEs, Ansky exhibits a lower blackbody luminosity () and notably slower rise and decline timescales, indicating a distinct subclass of TDEs. We first considered the possibility of an IMBH origin for Ansky. However, high-resolution HST ACQ imaging constrains the transient location to within 13 pc of the galactic nucleus, strongly disfavoring an offset IMBH-TDE scenario. Instead, we propose that Ansky is most likely the tidal disruption of a post-MS star by a typical SMBH. This scenario naturally explains the longer evolution timescale and lower luminosity, as post-MS TDEs are expected to have longer fallback times and dimmer emission than main-sequence star disruptions (Section~).",1293,text,Source_56,2510.22211v1
57,"As noted in our previous work~\citep{Wu2025}, Ansky shows a long-delayed infrared echo, indicating the presence of a torus remnant likely left behind by a recently faded AGN, similar to that observed in AT2019qiz. Future IFS observations of its host galaxy SDSSJ1335+0728 will be critical in confirming whether it is indeed a recently faded AGN by detecting EELRs commonly seen in QPE hosts~\citep{Wevers2024,Xiong2025}. 
","As noted in our previous work~, Ansky shows a long-delayed infrared echo, indicating the presence of a torus remnant likely left behind by a recently faded AGN, similar to that observed in AT2019qiz. Future IFS observations of its host galaxy SDSSJ1335+0728 will be critical in confirming whether it is indeed a recently faded AGN by detecting EELRs commonly seen in QPE hosts~.",378,text,Source_57,2510.22211v1
58,"Therefore, it is the first time that a rare, featureless TDE has been directly linked to QPEs in the case of Ansky. It provides further support for the unified scenario, in which QPEs arise from the collision between a quasi-circular EMRI and a TDE disk, with the occurrence rates of both being significantly boosted in recently faded AGNs~\citep{Jiang2025}. In this regard, efforts are underway to discover alternative formation channels for QPEs beyond TDEs. Upcoming deeper surveys, such as LSST and WFST, will undoubtedly reveal more faint TDEs similar to Ansky, which will further clarify the nature of featureless TDEs as well as the connection between TDEs and QPEs. On the other hand, future observations of more SMBH accretion outbursts associated with QPEs could help determine whether QPEs are exclusively tied to TDEs. Notably, the existence of Type II QPEs linked to episodic gas accretion in AGNs has been predicted by \citet{Lyu2025}. Thus, it is encouraging to explore whether turn-on AGNs remain a viable alternative channel, even if not the one observed in Ansky. 
","Therefore, it is the first time that a rare, featureless TDE has been directly linked to QPEs in the case of Ansky. It provides further support for the unified scenario, in which QPEs arise from the collision between a quasi-circular EMRI and a TDE disk, with the occurrence rates of both being significantly boosted in recently faded AGNs~. In this regard, efforts are underway to discover alternative formation channels for QPEs beyond TDEs. Upcoming deeper surveys, such as LSST and WFST, will undoubtedly reveal more faint TDEs similar to Ansky, which will further clarify the nature of featureless TDEs as well as the connection between TDEs and QPEs. On the other hand, future observations of more SMBH accretion outbursts associated with QPEs could help determine whether QPEs are exclusively tied to TDEs. Notably, the existence of Type II QPEs linked to episodic gas accretion in AGNs has been predicted by . Thus, it is encouraging to explore whether turn-on AGNs remain a viable alternative channel, even if not the one observed in Ansky.",1049,text,Source_58,2510.22211v1
59,"\software{astropy (The Astropy Collaboration 2013, 2018, 2022),
HEAsoft (HEASARC 2014)
}
","\software{astropy (The Astropy Collaboration 2013, 2018, 2022), HEAsoft (HEASARC 2014) }",88,text,Source_59,2510.22211v1
60,"\acknowledgements
",\acknowledgements,17,text,Source_60,2510.22211v1
61,"We thank the anonymous referee for his/her very positive and constructive comments, which have improved the manuscript significantly.
We gratefully acknowledge the Weihai TDE meeting held in summer 2025, which provided us with valuable opportunities for fruitful discussions.
This work is supported by the National Key Research and Development Program of China (2023YFA1608100), the Strategic Priority Research Program of the Chinese Academy of Sciences (XDB0550200), the National Natural Science Foundation of China (grants 12522303,12192221,12393814), the Hong Kong Research Grants Council (HKU17305124, N\_HKU782/23), the Fundamental Research Funds for Central Universities (WK2030000097) and the China Manned Space Project.  The authors appreciate the support of the Cyrus Chun Ying Tang Foundations. 
","We thank the anonymous referee for his/her very positive and constructive comments, which have improved the manuscript significantly. We gratefully acknowledge the Weihai TDE meeting held in summer 2025, which provided us with valuable opportunities for fruitful discussions. This work is supported by the National Key Research and Development Program of China (2023YFA1608100), the Strategic Priority Research Program of the Chinese Academy of Sciences (XDB0550200), the National Natural Science Foundation of China (grants 12522303,12192221,12393814), the Hong Kong Research Grants Council (HKU17305124, N\_HKU782/23), the Fundamental Research Funds for Central Universities (WK2030000097) and the China Manned Space Project. The authors appreciate the support of the Cyrus Chun Ying Tang Foundations.",803,text,Source_61,2510.22211v1
62,"\bibliography{J1335.bib}
\bibliographystyle{aasjournal}
",\bibliography{J1335.bib} \bibliographystyle{aasjournal},55,text,Source_62,2510.22211v1
63,\author[0000-0002-7223-5840]{Luming Sun},\author[0000-0002-7223-5840]{Luming Sun},40,text,Source_63,2510.22211v1
64,\author[0000-0003-4121-5684]{Shiyan Zhong},\author[0000-0003-4121-5684]{Shiyan Zhong},42,text,Source_64,2510.22211v1
65,\author[0000-0001-6747-8509]{Yuhan Yao},\author[0000-0001-6747-8509]{Yuhan Yao},39,text,Source_65,2510.22211v1
66,\author[0000-0002-7706-5668]{Ryan Chornock},\author[0000-0002-7706-5668]{Ryan Chornock},43,text,Source_66,2510.22211v1
67,\author[0000-0002-9589-5235]{Lixin Dai},\author[0000-0002-9589-5235]{Lixin Dai},39,text,Source_67,2510.22211v1
68,\author[0000-0002-6221-1829]{Jianwei Lyu},\author[0000-0002-6221-1829]{Jianwei Lyu},41,text,Source_68,2510.22211v1
69,\author[0000-0002-7020-4290]{Xinwen Shu},\author[0000-0002-7020-4290]{Xinwen Shu},40,text,Source_69,2510.22211v1
70,\author[0000-0002-4223-103X]{Christoffer Fremling},\author[0000-0002-4223-103X]{Christoffer Fremling},50,text,Source_70,2510.22211v1
71,\author[0000-0002-5698-8703]{Erica Hammerstein},\author[0000-0002-5698-8703]{Erica Hammerstein},47,text,Source_71,2510.22211v1
72,\author[0000-0001-7689-6382]{Shifeng Huang},\author[0000-0001-7689-6382]{Shifeng Huang},43,text,Source_72,2510.22211v1
73,\author[0000-0002-1517-6792]{Tinggui Wang},\author[0000-0002-1517-6792]{Tinggui Wang},42,text,Source_73,2510.22211v1
74,\author[0000-0003-4225-5442]{Yibo~Wang},\author[0000-0003-4225-5442]{Yibo~Wang},39,text,Source_74,2510.22211v1
75,\author[0000-0003-3824-9496]{Jiazheng Zhu},\author[0000-0003-3824-9496]{Jiazheng Zhu},42,text,Source_75,2510.22211v1
76,\title{\Large Ultraviolet Spectral Evidence for Ansky as a Slowly Evolving Featureless Tidal Disruption Event with Quasi-periodic Eruptions},\title{\Large Ultraviolet Spectral Evidence for Ansky as a Slowly Evolving Featureless Tidal Disruption Event with Quasi-periodic Eruptions},140,text,Source_76,2510.22211v1
77,"\begin{abstract}
X-ray quasi-periodic eruptions (QPEs) are rare and enigmatic phenomena that increasingly show a connection to tidal disruption events (TDEs). However, the recently discovered QPEs in ZTF19acnskyy (""Ansky"") appear to be linked to an active galactic nucleus (AGN) rather than a TDE, as their slow decay and AGN-like variability differ markedly from that of typical TDEs. This finding may imply broader formation channels for QPEs. To further investigate Ansky’s nature, we obtained a timely ultraviolet (UV) spectrum, which reveals a featureless, TDE-like spectrum devoid of broad optical or UV emission lines. Additionally, the steep UV continuum, fitted by a power-law  with an index of -2.6, aligns more closely with TDEs than with AGNs. Compared to other featureless TDEs, Ansky exhibits a significantly lower blackbody luminosity ($\sim10^{43}~\rm erg\,s^{-1}$) and much longer rise/decay timescales, suggesting a distinct TDE subclass. An offset TDE involving an intermediate-mass black hole is unlikely, given its position consistent with the galactic center with a 3$\sigma$ upper limit of 54\,pc. Instead, we propose that Ansky may result from the tidal disruption of a post-main-sequence star by a typical supermassive black hole. Our findings strengthen the growing evidence for TDE-QPE associations, although other formation channels for QPEs remain plausible and await future observational efforts.
\end{abstract}","\begin{abstract}
X-ray quasi-periodic eruptions (QPEs) are rare and enigmatic phenomena that increasingly show a connection to tidal disruption events (TDEs). However, the recently discovered QPEs in ZTF19acnskyy (""Ansky"") appear to be linked to an active galactic nucleus (AGN) rather than a TDE, as their slow decay and AGN-like variability differ markedly from that of typical TDEs. This finding may imply broader formation channels for QPEs. To further investigate Ansky’s nature, we obtained a timely ultraviolet (UV) spectrum, which reveals a featureless, TDE-like spectrum devoid of broad optical or UV emission lines. Additionally, the steep UV continuum, fitted by a power-law  with an index of -2.6, aligns more closely with TDEs than with AGNs. Compared to other featureless TDEs, Ansky exhibits a significantly lower blackbody luminosity ($\sim10^{43}~\rm erg\,s^{-1}$) and much longer rise/decay timescales, suggesting a distinct TDE subclass. An offset TDE involving an intermediate-mass black hole is unlikely, given its position consistent with the galactic center with a 3$\sigma$ upper limit of 54\,pc. Instead, we propose that Ansky may result from the tidal disruption of a post-main-sequence star by a typical supermassive black hole. Our findings strengthen the growing evidence for TDE-QPE associations, although other formation channels for QPEs remain plausible and await future observational efforts.
\end{abstract}",1441,text,Source_77,2510.22211v1
78,\author[0009-0007-3464-417X]{Wenkai Li},\author[0009-0007-3464-417X]{Wenkai Li},39,text,Source_78,2510.22211v1
79,\author[0000-0002-7152-3621]{Ning Jiang},\author[0000-0002-7152-3621]{Ning Jiang},40,text,Source_79,2510.22211v1
80,\author[0000-0002-8231-063X]{Bei You},\author[0000-0002-8231-063X]{Bei You},37,text,Source_80,2510.22211v1
